Organization,Raw Grade Code,Normalized Grade Family,Normalized Seniority Tier,International / National / Local,Staff / Consultant / Contractor / Other,Approximate UN Equivalent,Approximate Experience Range,Typical Role Scope,Supervisory Expectations,Notes / Caveats,Confidence Level,Evidence Type
International Monetary Fund,A15/B01,IMF A/B Grade Structure,T6_DIRECTOR,International / institutional,Staff,~D-1,division chief/advisor,Division Chief / Advisor,management,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,B02,IMF A/B Grade Structure,T6_DIRECTOR,International / institutional,Staff,~D-1/D-2,senior division chief/advisor,Division Chief / Senior Resident Representative,management,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,B03..B05,IMF A/B Grade Structure,T7_EXECUTIVE,International / institutional,Staff,~D-2/Executive,department leadership,Assistant/Deputy/Department Director,executive,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
,,,,,,,,,,,,
World Trade Organization,Grades 1..5,WTO Grade Structure,T1_ENTRY_SUPPORT,International / institutional,Staff,~G-1/G-5,varies,Support staff,varies; director grades supervise,WTO uses its own grade range; mapping inferred from published support/professional/director split.,MEDIUM,official WTO grade statement + inference
World Trade Organization,Grades 6..8,WTO Grade Structure,T3_MID_PROFESSIONAL,International / institutional,Staff,~P-2/P-3,varies,Professional officer/specialist,varies; director grades supervise,WTO uses its own grade range; mapping inferred from published support/professional/director split.,MEDIUM,official WTO grade statement + inference
World Trade Organization,Grade 9,WTO Grade Structure,T4_SENIOR_PROFESSIONAL,International / institutional,Staff,~P-4,varies,Senior professional,varies; director grades supervise,WTO uses its own grade range; mapping inferred from published support/professional/director split.,MEDIUM,official WTO grade statement + inference
World Trade Organization,Grade 10,WTO Grade Structure,T5_PRINCIPAL_MANAGER,International / institutional,Staff,~P-5,varies,Principal/chief professional,varies; director grades supervise,WTO uses its own grade range; mapping inferred from published support/professional/director split.,MEDIUM,official WTO grade statement + inference
World Trade Organization,Grades 11..12,WTO Grade Structure,T6_DIRECTOR,International / institutional,Staff,~D-1/D-2,varies,Director positions,varies; director grades supervise,WTO uses its own grade range; mapping inferred from published support/professional/director split.,MEDIUM,official WTO grade statement + inference
OSCE,P-1/P-2,OSCE UN-like Professional / GS / Mission,T2_JUNIOR_PROFESSIONAL,International,Staff / seconded depending post,~P-1/P-2,varies,Entry-level professional,varies,"OSCE states its P/GS grading is similar to UN Common System, but some mission/seconded categories are not staff salary grades.",HIGH,official OSCE documentation + inference
OSCE,P-3/P-4,OSCE UN-like Professional / GS / Mission,T3_MID_PROFESSIONAL,International,Staff / seconded depending post,~P-3/P-4,varies,Middle-ranking professional,varies,"OSCE states its P/GS grading is similar to UN Common System, but some mission/seconded categories are not staff salary grades.",HIGH,official OSCE documentation + inference
OSCE,P-5/D,OSCE UN-like Professional / GS / Mission,T5_PRINCIPAL_MANAGER,International,Staff / seconded depending post,~P-5/D,varies,Management,varies,"OSCE states its P/GS grading is similar to UN Common System, but some mission/seconded categories are not staff salary grades.",HIGH,official OSCE documentation + inference
OSCE,G-1..G-7,OSCE UN-like Professional / GS / Mission,T1_ENTRY_SUPPORT,Local,Staff / seconded depending post,~UN G grades,varies,General Service local posts,varies,"OSCE states its P/GS grading is similar to UN Common System, but some mission/seconded categories are not staff salary grades.",HIGH,official OSCE documentation + inference
OSCE,S1..S5,OSCE UN-like Professional / GS / Mission,T3_MID_PROFESSIONAL,Mission/field,Staff / seconded depending post,~P-2/P-5 by role,varies,Seconded or mission roles,varies,"OSCE states its P/GS grading is similar to UN Common System, but some mission/seconded categories are not staff salary grades.",LOW,official OSCE documentation + inference
North Atlantic Treaty Organization,NATO grades 1..8,NATO Salary Spine,T1_ENTRY_SUPPORT,International / NATO civilian,Staff,~G/support,varies,Support/administrative/technical support,varies,NATO does not use UN Common System grades; public salary spine does not provide official UN equivalence.,LOW,official salary spine + weak inference
North Atlantic Treaty Organization,NATO grades 9..14,NATO Salary Spine,T2_JUNIOR_PROFESSIONAL,International / NATO civilian,Staff,~G senior / junior professional,varies,Senior support or associate professional,varies,NATO does not use UN Common System grades; public salary spine does not provide official UN equivalence.,LOW,official salary spine + weak inference
North Atlantic Treaty Organization,NATO grades 15..17,NATO Salary Spine,T3_MID_PROFESSIONAL,International / NATO civilian,Staff,~P-3/P-4,varies,Professional officer,varies,NATO does not use UN Common System grades; public salary spine does not provide official UN equivalence.,LOW,official salary spine + weak inference
North Atlantic Treaty Organization,NATO grades 18..20,NATO Salary Spine,T4_SENIOR_PROFESSIONAL,International / NATO civilian,Staff,~P-4/P-5,varies,Senior professional / manager,varies,NATO does not use UN Common System grades; public salary spine does not provide official UN equivalence.,LOW,official salary spine + weak inference
North Atlantic Treaty Organization,NATO grades 21..24; U1..U4,NATO Salary Spine,T6_DIRECTOR,International / NATO civilian,Staff,~D/executive,varies,Senior management / unclassified executive spine,varies,NATO does not use UN Common System grades; public salary spine does not provide official UN equivalence.,LOW,official salary spine + weak inference
CERN,Grade 2,CERN Staff Grade,T1_ENTRY_SUPPORT,International / European scientific organization,Staff,~G-3/G-4,experience-dependent,Entry support/technical,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 3,CERN Staff Grade,T2_JUNIOR_PROFESSIONAL,International / European scientific organization,Staff,~G-5/P-1,experience-dependent,Technician/assistant/early professional,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 4,CERN Staff Grade,T2_JUNIOR_PROFESSIONAL,International / European scientific organization,Staff,~P-2,experience-dependent,Technical/professional,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 5,CERN Staff Grade,T3_MID_PROFESSIONAL,International / European scientific organization,Staff,~P-3,experience-dependent,Experienced professional,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 6,CERN Staff Grade,T4_SENIOR_PROFESSIONAL,International / European scientific organization,Staff,~P-4,experience-dependent,Senior professional,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 7,CERN Staff Grade,T5_PRINCIPAL_MANAGER,International / European scientific organization,Staff,~P-5,experience-dependent,Principal expert / manager,varies,CERN grades reflect responsibility/complexity in a scientific/technical framework; UN mapping is only broad functional equivalence.,LOW,official salary grade table + inference
CERN,Grade 8,CERN Staff Grade,T6_DIRECTOR,International / European scientific organization,Staff,~P-5/D-1,12+ years,Senior lead / principal manager,Leadership / team supervision,CERN Grade 8 observed in vacancy detail grade range; UN equivalence is functional only.,MEDIUM,observed CERN detail grade range + inference
The Global Fund,A,Global Fund A-G Grade Structure,T1_ENTRY_SUPPORT,International / Geneva-based institution,Staff,~P-1/G senior,varies,Entry role,varies,"Global Fund states roles are classified A to G, A entry and G most senior; UN equivalence inferred from relative ladder only.",LOW,official benefits page + inference
The Global Fund,B,Global Fund A-G Grade Structure,T2_JUNIOR_PROFESSIONAL,International / Geneva-based institution,Staff,~P-2,varies,Associate/professional,varies,"Global Fund states roles are classified A to G, A entry and G most senior; UN equivalence inferred from relative ladder only.",LOW,official benefits page + inference
The Global Fund,C,Global Fund A-G Grade Structure,T3_MID_PROFESSIONAL,International / Geneva-based institution,Staff,~P-3,varies,Professional specialist,varies,"Global Fund states roles are classified A to G, A entry and G most senior; UN equivalence inferred from relative ladder only.",LOW,official benefits page + inference
The Global Fund,D,Global Fund A-G Grade Structure,T4_SENIOR_PROFESSIONAL,International / Geneva-based institution,Staff,~P-4,varies,Senior specialist/manager,varies,"Global Fund states roles are classified A to G, A entry and G most senior; UN equivalence inferred from relative ladder only.",LOW,official benefits page + inference
